bed,row,col,Unique.ID,Li600,Genotype,Type
E ,13,D ,1490,NA,(TM2 x WL2) x (DPR x WL2),F2
E ,14,C ,2193,134,(WL2 x BH) x (WL2 x CC),F2
E ,14,D ,2394,NA,WL2,Parent
E ,16,C ,2272,135,(WL2 x TM2) x (TM2),F2
E ,17,D ,2174,NA,(TM2) x (TM2 x WL2),F2
E ,18,C ,2057,136,(CC x WL2) x (WL2 x TM2),F2
E ,18,D ,2122,137,(SQ3 x WL2) x (WL2),F2
E ,19,C ,2040,NA,WL2 x WV,F1
E ,21,C ,1781,138,TM2,Parent
E ,21,D ,2416,139,BH x WL2,F1
E ,22,C ,2036,140,WL2 x WL1,F1
E ,22,D ,2428,NA,WL2 x LV1,F1
E ,23,C ,2409,NA,WL1,Parent
E ,23,D ,2325,141,(WL2) x (WL2 x TM2),F2
E ,24,C ,2585,142,(DPR x TM2) x (TM2 x WL2),F2
E ,24,D ,2502,143,(SQ3 x WL2) x (WL2),F2
E ,25,C ,2080,144,(DPR x TM2) x (TM2 x WL2),F2
E ,25,D ,2067,145,(CC x WL2) x (WL2),F2
E ,26,C ,1623,NA,CC,Parent
E ,26,D ,2091,146,(LV1 x WL2) x (YO11 x WL2),F2
E ,27,D ,79,NA,(LV1 x WL2) x (WL2),F2
E ,28,C ,2637,NA,TM2,Parent
E ,28,D ,1870,147,WL2,Parent
E ,29,C ,2348,148,(WV x WL2) x (WL2 x BH),F2
E ,41,C ,2477,NA,DPR x WL2,F1
E ,41,D ,2259,NA,(WL2 x TM2) x (TM2),F2
E ,42,C ,2473,149,BH x WL2,F1
E ,42,D ,2245,150,(WL2 x TM2) x (TM2),F2
E ,43,D ,2134,151,(TM2 x WL2) x (TM2),F2
E ,44,C ,2426,152,WL1 x WL2,F1
E ,44,D ,1763,153,TM2,Parent
E ,46,C ,2297,154,(WL2 x WV) x (CC x WL2),F2
E ,46,D ,2628,NA,WV,Parent
E ,47,C ,2594,155,(DPR x TM2) x (TM2 x WL2),F2
E ,47,D ,2011,156,WL1 x WL2,F1
E ,48,C ,2081,157,(DPR x TM2) x (TM2 x WL2),F2
E ,49,c ,380,NA,(TM2 x WL2) x (YO11 x WL2),F2
E ,49,D ,2600,158,(TM2 x WL2) x (TM2),F2
E ,50,C ,1809,159,WL1,Parent
E ,50,D ,2308,NA,(WL2) x (TM2 x WL2),F2
E ,51,C ,1715,NA,TM2,Parent
F ,4,A ,1842,243,WL2,Parent
F ,4,B ,2528,244,(WL2 x BH) x (WL2 x CC),F2
F ,6,A ,2333,245,(WV x TM2) x (TM2 x WL2),F2
F ,7,A ,1859,NA,WL2,Parent
F ,8,A ,2048,246,WL2 x YO11,F1
F ,8,B ,2015,247,WL2 x DPR,F1
F ,9,A ,2449,NA,(WL2 x TM2) x (CC x TM2),F2
F ,9,B ,1892,NA,WL2,Parent
F ,10,B ,1659,NA,DPR,Parent
F ,11,A ,2288,NA,(WL2 x TM2) x (TM2),F2
F ,11,B ,2533,248,(WL2 x BH) x (WL2 x CC),F2
F ,12,B ,2136,249,(TM2 x WL2) x (TM2),F2
F ,13,A ,2109,250,(SQ3 x WL2) x (WL2),F2
F ,14,B ,2433,NA,WL2 x YO11,F1
F ,15,A ,2631,251,TM2,Parent
F ,15,B ,2611,252,(WV x TM2) x (TM2 x WL2),F2
F ,16,A ,1463,NA,(DPR x WL2) x (WV x WL2),F2
F ,16,B ,2196,253,(WL2 x BH) x (WL2 x CC),F2
F ,17,A ,2289,254,(WL2 x TM2) x (TM2),F2
F ,17,B ,1912,NA,WL2,Parent
F ,18,A ,2035,255,WL2 x WL1,F1
F ,18,B ,2459,NA,(WL2) x (WL2 x BH),F2
F ,19,A ,1989,256,SQ3 x WL2,F1
F ,19,B ,2341,NA,(WV x TM2) x (WL2 x TM2),F2
F ,20,B ,2603,257,(WL2 x BH) x (CC x WL2),F2
F ,21,A ,2110,NA,(SQ3 x WL2) x (WL2),F2
F ,22,B ,2010,258,WL1 x WL2,F1
F ,23,A ,1602,259,BH,Parent
F ,23,B ,2462,NA,(WL2) x (WL2 x TM2),F2
F ,24,A ,2247,260,(WL2 x TM2) x (TM2),F2
F ,24,B ,2027,261,WL2 x SQ3,F1
F ,25,B ,2530,NA,(WL2 x BH) x (WL2 x CC),F2
F ,26,A ,1811,NA,WL1,Parent
F ,26,B ,1692,262,SQ3,Parent
F ,27,A ,2514,NA,(WL2 x BH) x (WL2 x CC),F2
F ,27,B ,2581,NA,(WV) x (WV x WL2),F2
F ,28,A ,1724,263,TM2,Parent
F ,39,A ,861,NA,(SQ3 x WL2) x (LV1 x WL2),F2
F ,41,A ,1880,NA,WL2,Parent
